Japanese Name,Image URL,Filename
icon__nav_category_1,https://www.akachan.jp/assets/dist_pages/junbilist/img/icon__nav_category_1.png,icon__nav_category_1.gif
icon__nav_category_2,https://www.akachan.jp/assets/dist_pages/junbilist/img/icon__nav_category_2.png,icon__nav_category_2.gif
icon__nav_category_3,https://www.akachan.jp/assets/dist_pages/junbilist/img/icon__nav_category_3.png,icon__nav_category_3.gif
icon__nav_category_4,https://www.akachan.jp/assets/dist_pages/junbilist/img/icon__nav_category_4.png,icon__nav_category_4.gif
icon__nav_category_5,https://www.akachan.jp/assets/dist_pages/junbilist/img/icon__nav_category_5.png,icon__nav_category_5.gif
icon__nav_category_6,https://www.akachan.jp/assets/dist_pages/junbilist/img/icon__nav_category_6.png,icon__nav_category_6.gif
icon__nav_category_7,https://www.akachan.jp/assets/dist_pages/junbilist/img/icon__nav_category_7.png,icon__nav_category_7.gif
icon__nav_category_8,https://www.akachan.jp/assets/dist_pages/junbilist/img/icon__nav_category_8.png,icon__nav_category_8.gif
"作ろう！めばえリスト
                            これから準備する用品のマイリストを作ろう",https://www.akachan.jp/assets/dist_pages/junbilist/img/ornament__btn_garland.png,"作ろう！めばえリスト
                            これから準備する用品の.gif"
妊娠中の胸はどれくらい大きくなるの？,https://www.akachan.jp/assets/dist_pages/junbilist/img/category01/category01s01/qa01.gif,妊娠中の胸はどれくらい大きくなるの？.gif
普通のブラとマタニティブラの違いは？,https://www.akachan.jp/assets/dist_pages/junbilist/img/category01/category01s01/qa02.gif,普通のブラとマタニティブラの違いは？.gif
リフォームインナーのサイズのめやすは？,https://www.akachan.jp/assets/dist_pages/junbilist/img/category01/category01s03/qa01.gif,リフォームインナーのサイズのめやすは？.gif
チャイルドシートの選び方は？,https://www.akachan.jp/assets/dist_pages/junbilist/img/category02/qa01.gif,チャイルドシートの選び方は？.gif
ベビーカーの選び方は？,https://www.akachan.jp/assets/dist_pages/junbilist/img/category02/qa02.gif,ベビーカーの選び方は？.gif
肌着の基本スタイルは？,https://www.akachan.jp/assets/dist_pages/junbilist/img/category03/220210_qa01.gif,肌着の基本スタイルは？.gif
季節ごとのコーディネートは？,https://www.akachan.jp/assets/dist_pages/junbilist/img/category03/qa02.gif,季節ごとのコーディネートは？.gif
組ふとんの内容と敷く順番は？,https://www.akachan.jp/assets/dist_pages/junbilist/img/category04/qa01.gif,組ふとんの内容と敷く順番は？.gif
ママのふとんと同じでいいの？,https://www.akachan.jp/assets/dist_pages/junbilist/img/category04/qa02.gif,ママのふとんと同じでいいの？.gif
調乳温度と授乳温度の違いは？,https://www.akachan.jp/assets/dist_pages/junbilist/img/category05/qa01.gif,調乳温度と授乳温度の違いは？.gif
初めてのおむつ選びで抑えておくポイント,https://www.akachan.jp/assets/dist_pages/junbilist/img/category06/omutsu.gif,初めてのおむつ選びで抑えておくポイント.gif
